epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,384.734,0.04402,0.24915,0.13416,0.48565,5.84833,0.89812,0.87793,0.92094,0.46237,0.91734,0.89671,0.95291,0.91433,0.04573,0.28912,0.07182,0.49776,5.86665,0.000624383,0.000624383,0.000624383
86,389.341,0.04415,0.238,0.13471,0.46378,5.99115,0.89812,0.87793,0.92094,0.46237,0.91734,0.89671,0.95291,0.91433,0.04573,0.28912,0.07182,0.49776,5.86665,0.000616761,0.000616761,0.000616761
87,394.004,0.04446,0.2564,0.16134,0.46708,6.1425,0.91333,0.91549,0.94945,0.49354,0.92738,0.92958,0.97095,0.94253,0.04382,0.24688,0.06823,0.45624,5.75516,0.000609111,0.000609111,0.000609111
88,398.651,0.04244,0.25109,0.15324,0.45123,5.73192,0.91333,0.91549,0.94945,0.49354,0.92738,0.92958,0.97095,0.94253,0.04382,0.24688,0.06823,0.45624,5.75516,0.000601434,0.000601434,0.000601434
89,403.311,0.04189,0.24721,0.16663,0.45757,5.58022,0.87226,0.88732,0.92791,0.47806,0.89688,0.9108,0.95827,0.9162,0.04434,0.3042,0.06834,0.49179,5.80581,0.000593731,0.000593731,0.000593731
90,407.718,0.04303,0.23406,0.16265,0.47771,5.96937,0.87226,0.88732,0.92791,0.47806,0.89688,0.9108,0.95827,0.9162,0.04434,0.3042,0.06834,0.49179,5.80581,0.000586006,0.000586006,0.000586006
91,412.114,0.04335,0.21229,0.14944,0.46091,6.04169,0.87226,0.88732,0.92791,0.47806,0.89688,0.9108,0.95827,0.9162,0.04434,0.3042,0.06834,0.49179,5.80581,0.000578259,0.000578259,0.000578259
92,416.517,0.04275,0.21764,0.15263,0.44223,5.71637,0.78065,0.86886,0.89412,0.45584,0.82434,0.9108,0.93939,0.88738,0.04495,0.36296,0.06872,0.53183,5.88405,0.000570494,0.000570494,0.000570494
93,420.868,0.0406,0.19717,0.12326,0.43909,5.80953,0.78065,0.86886,0.89412,0.45584,0.82434,0.9108,0.93939,0.88738,0.04495,0.36296,0.06872,0.53183,5.88405,0.00056271,0.00056271,0.00056271
94,425.264,0.04204,0.24566,0.15601,0.44576,5.49602,0.78065,0.86886,0.89412,0.45584,0.82434,0.9108,0.93939,0.88738,0.04495,0.36296,0.06872,0.53183,5.88405,0.000554912,0.000554912,0.000554912
95,429.665,0.04362,0.22126,0.13101,0.45482,5.76604,0.89957,0.88312,0.93234,0.49228,0.92058,0.92512,0.9652,0.92172,0.04401,0.32146,0.0675,0.47503,5.81551,0.000547099,0.000547099,0.000547099
96,434.069,0.04063,0.20063,0.12703,0.42845,5.7289,0.89957,0.88312,0.93234,0.49228,0.92058,0.92512,0.9652,0.92172,0.04401,0.32146,0.0675,0.47503,5.81551,0.000539276,0.000539276,0.000539276
97,438.506,0.04414,0.24038,0.16643,0.45259,5.82165,0.93177,0.92019,0.95777,0.52023,0.94337,0.93427,0.97725,0.95442,0.04332,0.22771,0.06496,0.43338,5.7481,0.000531442,0.000531442,0.000531442
98,443.133,0.04657,0.19852,0.15158,0.4764,6.40929,0.93177,0.92019,0.95777,0.52023,0.94337,0.93427,0.97725,0.95442,0.04332,0.22771,0.06496,0.43338,5.7481,0.000523601,0.000523601,0.000523601
99,447.771,0.04246,0.25146,0.1509,0.44378,5.68519,0.93177,0.92019,0.95777,0.52023,0.94337,0.93427,0.97725,0.95442,0.04332,0.22771,0.06496,0.43338,5.7481,0.000515754,0.000515754,0.000515754
100,452.444,0.04141,0.24282,0.14168,0.41894,5.26269,0.92999,0.93427,0.96521,0.51509,0.93842,0.94836,0.98295,0.96308,0.04353,0.22339,0.06298,0.43965,5.7287,0.000507903,0.000507903,0.000507903
101,457.103,0.04323,0.24517,0.20093,0.45974,5.67866,0.92999,0.93427,0.96521,0.51509,0.93842,0.94836,0.98295,0.96308,0.04353,0.22339,0.06298,0.43965,5.7287,0.00050005,0.00050005,0.00050005
102,461.842,0.04521,0.19758,0.12778,0.47196,6.35423,0.92999,0.93427,0.96521,0.51509,0.93842,0.94836,0.98295,0.96308,0.04353,0.22339,0.06298,0.43965,5.7287,0.000492197,0.000492197,0.000492197
103,466.48,0.04442,0.25206,0.12247,0.44405,5.4478,0.94223,0.91892,0.96672,0.49889,0.91618,0.97503,0.98425,0.96523,0.04403,0.21875,0.06105,0.43722,5.72738,0.000484346,0.000484346,0.000484346
104,470.867,0.04175,0.21177,0.14757,0.44623,5.78319,0.94223,0.91892,0.96672,0.49889,0.91618,0.97503,0.98425,0.96523,0.04403,0.21875,0.06105,0.43722,5.72738,0.000476499,0.000476499,0.000476499
105,475.303,0.04379,0.24687,0.13904,0.45093,5.55408,0.90766,0.95305,0.96633,0.50612,0.92495,0.97183,0.98296,0.96265,0.04396,0.21369,0.06063,0.43038,5.72422,0.000468658,0.000468658,0.000468658
106,479.696,0.04217,0.20598,0.12323,0.44886,5.75909,0.90766,0.95305,0.96633,0.50612,0.92495,0.97183,0.98296,0.96265,0.04396,0.21369,0.06063,0.43038,5.72422,0.000460824,0.000460824,0.000460824
107,484.109,0.04179,0.21341,0.10941,0.43762,5.49733,0.90766,0.95305,0.96633,0.50612,0.92495,0.97183,0.98296,0.96265,0.04396,0.21369,0.06063,0.43038,5.72422,0.000453001,0.000453001,0.000453001
108,488.527,0.04137,0.20132,0.12899,0.44026,5.7254,0.92644,0.94366,0.96543,0.49011,0.9404,0.95775,0.97686,0.95794,0.04385,0.20755,0.06254,0.42847,5.79485,0.000445188,0.000445188,0.000445188
109,492.93,0.04024,0.19781,0.12157,0.42855,5.51857,0.92644,0.94366,0.96543,0.49011,0.9404,0.95775,0.97686,0.95794,0.04385,0.20755,0.06254,0.42847,5.79485,0.00043739,0.00043739,0.00043739
110,497.325,0.04099,0.18101,0.12149,0.419,5.52608,0.92644,0.94366,0.96543,0.49011,0.9404,0.95775,0.97686,0.95794,0.04385,0.20755,0.06254,0.42847,5.79485,0.000429606,0.000429606,0.000429606
111,501.763,0.04074,0.20759,0.141,0.42429,5.39401,0.93043,0.94182,0.96555,0.51196,0.94433,0.9557,0.97733,0.96183,0.04367,0.20302,0.06328,0.4231,5.77199,0.000421841,0.000421841,0.000421841
112,506.19,0.04038,0.18372,0.1676,0.42813,5.50219,0.93043,0.94182,0.96555,0.51196,0.94433,0.9557,0.97733,0.96183,0.04367,0.20302,0.06328,0.4231,5.77199,0.000414094,0.000414094,0.000414094
113,510.631,0.04118,0.20343,0.15772,0.44587,5.64446,0.90925,0.94074,0.965,0.51474,0.92283,0.95305,0.97626,0.96212,0.04373,0.19865,0.06227,0.41931,5.73544,0.000406369,0.000406369,0.000406369
114,515.013,0.03956,0.19035,0.10893,0.40919,5.27255,0.90925,0.94074,0.965,0.51474,0.92283,0.95305,0.97626,0.96212,0.04373,0.19865,0.06227,0.41931,5.73544,0.000398666,0.000398666,0.000398666
115,519.418,0.04083,0.18544,0.12411,0.42506,5.53682,0.90925,0.94074,0.965,0.51474,0.92283,0.95305,0.97626,0.96212,0.04373,0.19865,0.06227,0.41931,5.73544,0.000390989,0.000390989,0.000390989
116,523.866,0.04309,0.1835,0.13317,0.43555,5.77312,0.90086,0.94366,0.96512,0.50887,0.91479,0.95769,0.97892,0.96102,0.04434,0.19828,0.06053,0.41584,5.78428,0.000383339,0.000383339,0.000383339
